Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,c_1,c_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-3_n-1,alpha_k-3_n-2,beta_k-1_n-1,beta_k-1_n-2,beta_k-2_n-1,beta_k-2_n-2,beta_k-3_n-1,beta_k-3_n-2,theta_k-1_n-1,theta_k-1_n-2,theta_k-2_n-1,theta_k-2_n-2,theta_k-3_n-1,theta_k-3_n-2
4.0,0.0,11,0.0,0.0,10207.0,10215.0,0.5035076151885526,10.31010101010101,6.608387770080586,10.31010101010101,10.318181818181818,0.0,0.0,0.5035076151885526,0.4964923848114474,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7245694355812967,0.23077849457631427,0.7340275933688618,0.834598415450085,0.6772412681085427,0.9995615019196864
4.0,0.0,12,0.0,0.0,10207.0,10215.0,0.6242989486061018,10.320525783619818,6.65816485256792,10.320525783619818,10.328614762386248,0.0,0.0,0.6242989486061018,0.3757010513938982,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.5384811936967298,0.2975896236185898,0.7536933684242272,0.865048269282329,0.5590059808856274,0.79139095284606
4.0,0.0,13,0.0,0.0,10207.0,10215.0,0.5445168061718924,10.330971659919028,6.722568970576491,10.330971659919028,10.339068825910932,0.0,0.0,0.5445168061718924,0.45548319382810765,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7052439901801254,0.03655088950312541,0.7923596332253036,0.7578883381269758,0.660348716041244,0.8843500356514503
3.0,2.0,14,1.0,0.0,10207.0,10215.0,0.5424502570483067,10.341438703140831,6.49738292905501,10.341438703140831,10.349544072948328,0.0,0.0,0.5424502570483067,0.45754974295169326,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7179590115362889,0.6399279412504841,0.7392849907460107,0.7109479790301084,0.5876566396314219,0.9851922647818175
3.0,9.0,15,1.0,1.0,10193.0,10203.0,0.567974563704551,10.337728194726166,7.166290525844001,10.337728194726166,10.34787018255578,0.0,0.0,0.567974563704551,0.432025436295449,2.0,1.0,3.0,3.0,6.0,7.0,1.0,2.0,2.0,2.0,3.0,2.0,0.7924661448208208,0.2408789907103561,0.2864841829643887,0.4792550396704265,0.7707226907972987,0.673720282419454
2.0,6.0,16,1.0,0.0,10168.0,10186.0,0.6805574138895972,10.322842639593908,6.765776771786826,10.322842639593908,10.341116751269036,0.0,0.6805574138895972,0.0,0.31944258611040277,2.0,1.0,3.0,3.0,7.0,8.0,1.0,2.0,2.0,2.0,3.0,2.0,0.27605224030799475,0.006015516430962763,0.5405751707058145,0.6909240694588938,0.8009806277235827,0.6421064786493822
4.0,0.0,17,0.0,0.0,10154.0,10174.0,0.4917644871425722,10.31910569105691,6.694855973793865,10.31910569105691,10.339430894308943,0.0,0.0,0.4917644871425722,0.5082355128574279,2.0,1.0,4.0,3.0,7.0,8.0,1.0,2.0,2.0,3.0,3.0,2.0,0.4914019199220866,0.2355720027483324,0.29302518365722613,0.4383412419068366,0.723132910324043,0.9872705410356538
3.0,9.0,18,1.0,1.0,10154.0,10174.0,0.6855045381046945,10.329603255340794,6.7770513999508815,10.329603255340794,10.349949135300102,0.0,0.0,0.6855045381046945,0.31449546189530553,2.0,1.0,4.0,3.0,7.0,8.0,1.0,2.0,2.0,3.0,3.0,2.0,0.7559627373024528,0.8883612086735646,0.6313737631015196,0.3733123066737851,0.538796675974231,0.6841327727694888
4.0,0.0,19,0.0,0.0,10129.0,10157.0,0.5104660797729321,10.314663951120163,6.660152706194622,10.314663951120163,10.343177189409369,0.0,0.0,0.5104660797729321,0.4895339202270679,2.0,1.0,4.0,3.0,8.0,9.0,1.0,2.0,2.0,3.0,3.0,2.0,0.3063887871130769,0.7481547463248043,0.5488117725985067,0.37288449379534605,0.6852801236516629,0.9647675740134058
3.0,7.0,20,0.0,1.0,10129.0,10157.0,0.6599044454427078,10.325178389398573,6.0321866551463295,10.325178389398573,10.353720693170235,0.0,0.0,0.6599044454427078,0.34009555455729223,2.0,1.0,4.0,3.0,8.0,9.0,1.0,2.0,2.0,3.0,3.0,2.0,0.9594037441191176,0.07547018447341702,0.6648881438770934,0.7747196835809703,0.3599778569440758,0.9642531795074969
3.0,9.0,21,1.0,1.0,10118.0,10152.0,0.6095134690083482,10.324489795918367,6.933484082571848,10.324489795918367,10.359183673469389,0.0,0.0,0.6095134690083482,0.39048653099165176,2.0,1.0,4.0,3.0,8.0,10.0,1.0,2.0,2.0,3.0,4.0,2.0,0.7673066490507314,0.4941538410079547,0.2921983474622675,0.5240192502601944,0.6521826802760762,0.7098496285913621
3.0,9.0,22,1.0,1.0,10093.0,10135.0,0.6027394279616531,10.30949948927477,6.749612009047506,10.30949948927477,10.352400408580184,0.0,0.0,0.6027394279616531,0.39726057203834686,2.0,1.0,4.0,3.0,9.0,11.0,1.0,2.0,2.0,3.0,4.0,2.0,0.5896480914814897,0.2459197973045562,0.8549874134031229,0.4874502649574354,0.6073944094877518,0.7818985095948892
3.0,7.0,23,0.0,1.0,10068.0,10118.0,0.49607188228271226,10.294478527607362,6.718216271575712,10.294478527607362,10.34560327198364,0.0,0.0,0.49607188228271226,0.5039281177172877,2.0,1.0,4.0,3.0,10.0,12.0,1.0,2.0,2.0,3.0,4.0,2.0,0.9384707630288858,0.2595127887072645,0.8763255267818922,0.5793078192054275,0.7292122940865832,0.9584561321643955
3.0,9.0,24,1.0,1.0,10057.0,10113.0,0.49469623262847356,10.293756397134084,6.809666050806487,10.293756397134084,10.3510747185261,0.0,0.0,0.49469623262847356,0.5053037673715264,2.0,1.0,4.0,3.0,10.0,13.0,1.0,2.0,2.0,3.0,5.0,2.0,0.7176969625039633,0.8599644785206845,0.7876396880293175,0.6081699198152912,0.7641556323613382,0.9190961851783638
4.0,0.0,25,0.0,0.0,10032.0,10096.0,0.5029398473363649,10.278688524590166,6.705812383236542,10.278688524590164,10.344262295081966,0.0,0.0,0.5029398473363649,0.4970601526636352,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.35458060922369783,0.6920058388501121,0.8612344604947084,0.7757083337982712,0.7174106698755642,0.9448602819617532
4.0,0.0,26,0.0,0.0,10032.0,10096.0,0.47948786683268424,10.28923076923077,6.74087607123529,10.28923076923077,10.354871794871794,0.0,0.0,0.47948786683268424,0.5205121331673157,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.5031629529707795,0.0916652322614969,0.7750149634300255,0.6174343448048596,0.7637006773230302,0.9788166623346892
4.0,0.0,27,0.0,0.0,10032.0,10096.0,0.5534342575037489,10.299794661190965,6.6057178169360915,10.299794661190965,10.365503080082135,0.0,0.0,0.5534342575037489,0.44656574249625114,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.47434186112859633,0.20064795004922076,0.6155659765578841,0.36522517891864825,0.6167915827221991,0.9068736470466954
3.0,9.0,28,1.0,1.0,10032.0,10096.0,0.6514236603694787,10.3103802672148,6.407352606214062,10.3103802672148,10.376156217882837,0.0,0.0,0.6514236603694787,0.34857633963052126,2.0,1.0,4.0,3.0,11.0,14.0,1.0,2.0,2.0,3.0,5.0,2.0,0.6053740604301003,0.33660889180729575,0.5252647745960676,0.32251269385331416,0.4686751565507489,0.8423641145007096
3.0,2.0,29,1.0,0.0,10007.0,10079.0,0.5989302361877754,10.295267489711934,6.694322306871723,10.295267489711934,10.369341563786008,0.0,0.0,0.5989302361877754,0.4010697638122246,2.0,1.0,4.0,3.0,12.0,15.0,1.0,2.0,2.0,3.0,5.0,2.0,0.8752286671180061,0.16876001869920584,0.5932234750335039,0.637780114778997,0.5967954461739128,0.8031173285848038
3.0,9.0,30,1.0,1.0,9993.0,10067.0,0.5549248018593966,10.29145211122554,6.748885617496201,10.29145211122554,10.367662203913492,0.0,0.0,0.5549248018593966,0.44507519814060337,2.0,1.0,4.0,3.0,13.0,15.0,1.0,2.0,2.0,3.0,5.0,3.0,0.9608612240774261,0.4127547116009264,0.6862956257054592,0.4488657440449034,0.6621205530620786,0.8432710915339255
2.0,6.0,31,1.0,0.0,9968.0,10050.0,0.7080883163125059,10.276288659793815,7.55465138554855,10.276288659793815,10.360824742268042,0.0,0.7080883163125059,0.0,0.2919116836874941,2.0,1.0,4.0,3.0,14.0,16.0,1.0,2.0,2.0,3.0,5.0,3.0,0.977163430304306,0.1676717022141804,0.7225206328564966,0.3997666200381333,0.8382230031041425,0.7402649632232619
4.0,0.0,32,0.0,0.0,9954.0,10038.0,0.47736133131571196,10.272445820433436,6.785718125912652,10.272445820433436,10.359133126934985,0.0,0.0,0.47736133131571196,0.5226386686842881,2.0,1.0,5.0,3.0,14.0,16.0,1.0,2.0,2.0,4.0,5.0,3.0,0.8844396734776878,0.8133054550058495,0.587040686937869,0.6497570066191652,0.7866047317801402,0.9551598726471624
2.0,6.0,33,1.0,0.0,9954.0,10038.0,0.6545380842685655,10.283057851239672,6.689761762106155,10.28305785123967,10.369834710743802,0.0,0.6545380842685655,0.0,0.3454619157314345,2.0,1.0,5.0,3.0,14.0,16.0,1.0,2.0,2.0,4.0,5.0,3.0,0.5438628036110615,0.1141918569073087,0.5463614195745845,0.7328494818287258,0.8275204293540604,0.6156203355299231
2.0,6.0,34,1.0,0.0,9940.0,10026.0,0.6427859832815138,10.279214064115822,7.681055455146443,10.279214064115822,10.368148914167529,0.0,0.6427859832815138,0.0,0.3572140167184862,2.0,1.0,6.0,3.0,14.0,16.0,1.0,2.0,2.0,5.0,5.0,3.0,0.9792989421629587,0.2483651263140428,0.8304459665858624,0.39685592467535563,0.8218355712205395,0.7593465983928215
4.0,0.0,35,0.0,0.0,9926.0,10014.0,0.6164178848048374,10.27536231884058,6.694662581501814,10.27536231884058,10.366459627329192,0.0,0.0,0.6164178848048374,0.3835821151951626,2.0,1.0,7.0,3.0,14.0,16.0,1.0,2.0,2.0,6.0,5.0,3.0,0.9259637364298186,0.16372862782936476,0.8874284635850568,0.4993933089902924,0.5825665890067355,0.7739584024610323
4.0,0.0,36,0.0,0.0,9926.0,10014.0,0.7695392109377415,10.2860103626943,8.215280688455822,10.2860103626943,10.37720207253886,0.0,0.7695392109377415,0.0,0.23046078906225853,2.0,1.0,7.0,3.0,14.0,16.0,1.0,2.0,2.0,6.0,5.0,3.0,0.7628162670310317,0.47682883192454234,0.8161154440278955,0.17643978651914893,0.8021090774561194,0.8509256405996668
2.0,6.0,37,1.0,0.0,9926.0,10014.0,0.6333752410740933,10.296680497925312,8.096957356942145,10.296680497925312,10.387966804979254,0.0,0.6333752410740933,0.0,0.36662475892590674,2.0,1.0,7.0,3.0,14.0,16.0,1.0,2.0,2.0,6.0,5.0,3.0,0.9380708595447738,0.6000792525446601,0.9570621830546125,0.25981548144049815,0.8298811967407272,0.7287376809441931
4.0,0.0,38,0.0,0.0,9912.0,10002.0,0.8243075817035728,10.292834890965732,7.773933033223087,10.292834890965732,10.386292834890966,0.0,0.8243075817035728,0.0,0.17569241829642723,2.0,1.0,8.0,3.0,14.0,16.0,1.0,2.0,2.0,7.0,5.0,3.0,0.986003257224755,0.026125342743439726,0.6662305013162808,0.28721967836578693,0.7203162287430929,0.8250216362690148
2.0,6.0,39,1.0,0.0,9912.0,10002.0,0.7582458565093544,10.303534303534304,8.025101083614743,10.303534303534304,10.397089397089397,0.0,0.7582458565093544,0.0,0.2417541434906456,2.0,1.0,8.0,3.0,14.0,16.0,1.0,2.0,2.0,7.0,5.0,3.0,0.9112764085954703,0.15843734827361722,0.7819074326773425,0.24017651366775775,0.7368540671727004,0.919187107249919
2.0,9.0,40,1.0,1.0,9898.0,9990.0,0.6170861010583255,10.299687825182103,7.987008066300174,10.299687825182103,10.395421436004161,0.0,0.6170861010583255,0.0,0.3829138989416745,2.0,1.0,9.0,3.0,14.0,16.0,1.0,2.0,2.0,8.0,5.0,3.0,0.5654799933924951,0.2639927706211296,0.9503209216785398,0.30785009641862693,0.717027426984851,0.9207978396488948
4.0,0.0,41,0.0,0.0,9873.0,9973.0,0.5621334130852982,10.284374999999999,7.603097094897954,10.284375,10.388541666666667,0.0,0.5621334130852982,0.0,0.4378665869147018,2.0,1.0,10.0,4.0,14.0,16.0,1.0,2.0,2.0,8.0,5.0,3.0,0.5771005536944239,0.12789113073413386,0.9242494550468304,0.48688765141875007,0.7812219985130208,0.8330095398064874
3.0,9.0,42,1.0,1.0,9873.0,9973.0,0.6368504058578728,10.29509906152242,6.461115489362451,10.29509906152242,10.399374348279459,0.0,0.0,0.6368504058578728,0.3631495941421272,2.0,1.0,10.0,4.0,14.0,16.0,1.0,2.0,2.0,8.0,5.0,3.0,0.8105874021448556,0.6795585761550436,0.857093033810214,0.37472481573016847,0.49631281449680914,0.8379334476928464
2.0,6.0,43,1.0,0.0,9848.0,9956.0,0.7013168748983883,10.279749478079331,7.090729285186059,10.279749478079331,10.392484342379959,0.0,0.7013168748983883,0.0,0.29868312510161166,2.0,1.0,10.0,4.0,15.0,17.0,1.0,2.0,2.0,8.0,5.0,3.0,0.8578441915016565,0.5827189462080373,0.6117356872269726,0.5539528933506522,0.7104803338285076,0.7183102721168998
4.0,0.0,44,0.0,0.0,9834.0,9944.0,0.581556024243686,10.275862068965518,6.428337160004364,10.275862068965518,10.39080459770115,0.0,0.0,0.581556024243686,0.418443975756314,2.0,1.0,11.0,4.0,15.0,17.0,1.0,2.0,2.0,9.0,5.0,3.0,0.7191182642635208,0.20484741767202874,0.9471195361070335,0.6401336394015775,0.5361699727388405,0.9239290854290848
2.0,6.0,45,1.0,0.0,9834.0,9944.0,0.6549520928400426,10.28661087866109,8.230171755698713,10.286610878661088,10.401673640167363,0.0,0.6549520928400426,0.0,0.34504790715995737,2.0,1.0,11.0,4.0,15.0,17.0,1.0,2.0,2.0,9.0,5.0,3.0,0.8727861876800014,0.07730943087148538,0.962858774804224,0.20235230238479218,0.715562304234232,0.8016786479711162
4.0,0.0,46,0.0,0.0,9820.0,9932.0,0.6356070219894873,10.282722513089006,7.947973769442256,10.282722513089006,10.4,0.0,0.6356070219894873,0.0,0.36439297801051274,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,2.0,10.0,5.0,3.0,0.6865479275119684,0.1820331503681995,0.9138863209213349,0.3075809363621414,0.64765392313171,0.735774899228106
2.0,0.0,47,0.0,0.0,9820.0,9932.0,0.7107843517767687,10.293501048218031,8.075583743540687,10.29350104821803,10.41090146750524,0.0,0.7107843517767687,0.0,0.2892156482232313,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,2.0,10.0,5.0,3.0,0.5440420807739376,0.08863703558919618,0.8478574464151699,0.23744419134707023,0.7341197136346892,0.8894030961071356
4.0,0.0,48,0.0,0.0,9820.0,9932.0,0.6062775003241003,10.304302203567683,7.57620430732211,10.304302203567682,10.421825813221407,0.0,0.6062775003241003,0.0,0.3937224996758997,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,3.0,11.0,5.0,3.0,0.24603906379819077,0.5649083143597463,0.8464328081877869,0.4678142602617499,0.797080864270654,0.8870354039212252
2.0,6.0,49,1.0,0.0,9820.0,9932.0,0.60851401288415,10.315126050420169,7.806691888968079,10.315126050420169,10.432773109243698,0.0,0.60851401288415,0.0,0.39148598711585003,2.0,1.0,12.0,4.0,15.0,17.0,1.0,2.0,3.0,11.0,5.0,3.0,0.34484940350185717,0.28382574730167526,0.9090887351586423,0.3840086021488466,0.7052846206905453,0.8095461737496502
2.0,6.0,50,1.0,0.0,9806.0,9920.0,0.5894700664258912,10.311251314405888,7.692037014825894,10.311251314405888,10.43112513144059,0.0,0.5894700664258912,0.0,0.41052993357410883,2.0,1.0,13.0,4.0,15.0,17.0,1.0,2.0,3.0,12.0,5.0,3.0,0.8492139579056559,0.4485641175800507,0.904479717593261,0.4390629679112761,0.8683205584743718,0.861230068064815
4.0,0.0,51,0.0,0.0,9792.0,9908.0,0.8250942870164532,10.307368421052631,8.534260369011692,10.307368421052631,10.429473684210526,0.0,0.8250942870164532,0.0,0.17490571298354685,2.0,1.0,14.0,4.0,15.0,17.0,1.0,2.0,3.0,13.0,5.0,3.0,0.634706407897906,0.06826512555846785,0.8276673231739856,0.08227360570544182,0.899396720680981,0.8288784926873799
2.0,9.0,52,1.0,1.0,9792.0,9908.0,0.7226026423006383,10.31822971548999,8.185789622018296,10.31822971548999,10.440463645943098,0.0,0.7226026423006383,0.0,0.2773973576993617,2.0,1.0,14.0,4.0,15.0,17.0,1.0,2.0,3.0,13.0,5.0,3.0,0.9266163113148479,0.3904966398465807,0.8582894354952652,0.20574601063741985,0.702038721448628,0.8723575825423142
3.0,7.0,53,0.0,1.0,9767.0,9891.0,0.578532683575642,10.302742616033756,6.727635843281405,10.302742616033756,10.433544303797468,0.0,0.0,0.578532683575642,0.421467316424358,2.0,1.0,15.0,5.0,15.0,17.0,1.0,2.0,3.0,13.0,5.0,3.0,0.9378659815119714,0.467645733645114,0.8448810160712892,0.3754342026129357,0.6270111978118084,0.8209313872399058
2.0,9.0,54,1.0,1.0,9756.0,9886.0,0.7178089340350504,10.302006335797255,8.424685834003187,10.302006335797255,10.439281942977825,0.0,0.7178089340350504,0.0,0.2821910659649496,2.0,1.0,15.0,5.0,15.0,18.0,1.0,2.0,3.0,13.0,6.0,3.0,0.7109338763851548,0.14214359401122192,0.9248914736842064,0.12759425479661657,0.8321791861257106,0.9247934450733155
2.0,6.0,55,1.0,0.0,9731.0,9869.0,0.5772883686444538,10.286469344608879,7.699926714041628,10.286469344608879,10.432346723044397,0.0,0.5772883686444538,0.0,0.42271163135554624,2.0,1.0,16.0,6.0,15.0,18.0,1.0,2.0,3.0,13.0,6.0,3.0,0.7692862893756649,0.4369404025612328,0.9294523840253102,0.43693314345584605,0.8303804319115582,0.9120662187410145
3.0,7.0,56,0.0,1.0,9717.0,9857.0,0.6120803396474713,10.282539682539683,6.66180293101333,10.282539682539683,10.43068783068783,0.0,0.0,0.6120803396474713,0.3879196603525287,2.0,1.0,17.0,6.0,15.0,18.0,1.0,2.0,3.0,14.0,6.0,3.0,0.9309019073604733,0.43768280568899487,0.7817164235001197,0.23653589198830388,0.5762245314293069,0.7938351522570114
4.0,0.0,57,0.0,0.0,9706.0,9852.0,0.6163789368029458,10.28177966101695,6.293936898203339,10.28177966101695,10.436440677966102,0.0,0.0,0.6163789368029458,0.38362106319705425,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.9335225756916982,0.5273248075240032,0.8524946066986179,0.25800218226014665,0.46641834688849115,0.9228256811722895
4.0,0.0,58,0.0,0.0,9706.0,9852.0,0.6482743272357085,10.292682926829269,7.89409888747112,10.292682926829269,10.447507953340404,0.0,0.6482743272357085,0.0,0.35172567276429145,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.9753066198031602,0.633090982521561,0.8800454266583537,0.32331022858611835,0.7042016041569881,0.9222196647910473
4.0,0.0,59,0.0,0.0,9706.0,9852.0,0.6521320548269932,10.303609341825902,8.120302006442172,10.303609341825902,10.45859872611465,0.0,0.6521320548269932,0.0,0.3478679451730068,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.4980509844121104,0.011965365919566462,0.9350291882158621,0.24631573635561832,0.8191645580638027,0.6987376821012415
2.0,6.0,60,1.0,0.0,9706.0,9852.0,0.7581688641351555,10.314558979808714,8.153001392685285,10.314558979808714,10.46971307120085,0.0,0.7581688641351555,0.0,0.2418311358648445,2.0,1.0,17.0,6.0,15.0,19.0,1.0,2.0,3.0,14.0,7.0,3.0,0.9901589574272867,0.3093796265092086,0.8107441542396671,0.2049226063331278,0.6238811965668741,0.8445182953892364
4.0,0.0,61,0.0,0.0,9692.0,9840.0,0.680056041668975,10.310638297872341,8.00904329012417,10.310638297872341,10.46808510638298,0.0,0.680056041668975,0.0,0.31994395833102496,2.0,1.0,18.0,6.0,15.0,19.0,1.0,2.0,3.0,15.0,7.0,3.0,0.9193508306007953,0.5634926265951048,0.8667759254434494,0.27514462760325,0.6941336545632616,0.9237614331832893
2.0,6.0,62,1.0,0.0,9692.0,9840.0,0.6427143248494679,10.321618743343983,8.015191250918534,10.321618743343983,10.47923322683706,0.0,0.6427143248494679,0.0,0.3572856751505321,2.0,1.0,18.0,6.0,15.0,19.0,1.0,2.0,3.0,15.0,7.0,3.0,0.9829114733215719,0.19847676343059262,0.9174549710724915,0.29227723324411237,0.7528242585035462,0.8915653163685274
4.0,0.0,63,0.0,0.0,9678.0,9828.0,0.8215039631440819,10.31769722814499,8.509866228236952,10.31769722814499,10.477611940298507,0.0,0.8215039631440819,0.0,0.17849603685591808,2.0,1.0,19.0,6.0,15.0,19.0,1.0,2.0,3.0,16.0,7.0,3.0,0.3142047141418092,0.19152360999253734,0.8250022510849274,0.09177187663601259,0.642260723928284,0.9108408869374192
4.0,0.0,64,0.0,0.0,9678.0,9828.0,0.5445428886875363,10.328708644610458,6.740365702273856,10.328708644610458,10.488794023479189,0.0,0.0,0.5445428886875363,0.4554571113124637,2.0,1.0,19.0,6.0,15.0,19.0,1.0,2.0,3.0,16.0,7.0,3.0,0.7082431682370005,0.12990175286081654,0.7494894547184703,0.3076737383877026,0.6664506455749084,0.876123528677364
2.0,6.0,65,1.0,0.0,9678.0,9828.0,0.6576188323019808,10.33974358974359,8.012650842889295,10.33974358974359,10.5,0.0,0.6576188323019808,0.0,0.3423811676980192,2.0,1.0,19.0,6.0,15.0,19.0,1.0,2.0,3.0,16.0,7.0,3.0,0.6929609719663041,0.3556424097582288,0.8937533792035853,0.29185970734940275,0.828420499243555,0.8600553579389125
2.0,6.0,66,1.0,0.0,9664.0,9816.0,0.6837474453814631,10.33582887700535,8.179189013352953,10.335828877005348,10.498395721925133,0.0,0.6837474453814631,0.0,0.31625255461853685,2.0,1.0,20.0,6.0,15.0,19.0,1.0,2.0,3.0,17.0,7.0,3.0,0.5684916056260964,0.03236416280468275,0.9032748205049707,0.2245995379046693,0.8195788791432632,0.9655723762096857
3.0,7.0,67,0.0,1.0,9650.0,9804.0,0.6487139915696348,10.331905781584583,6.429080438987466,10.331905781584583,10.49678800856531,0.0,0.0,0.6487139915696348,0.35128600843036517,2.0,1.0,21.0,6.0,15.0,19.0,1.0,2.0,3.0,18.0,7.0,3.0,0.8994109796053089,0.6396289788492211,0.7426352512804665,0.2879163515333746,0.4738992830340698,0.8447418519121347
2.0,6.0,68,1.0,0.0,9639.0,9799.0,0.6817051618645359,10.331189710610932,8.180124579522706,10.331189710610932,10.502679528403002,0.0,0.6817051618645359,0.0,0.3182948381354641,2.0,1.0,21.0,6.0,15.0,20.0,1.0,2.0,3.0,18.0,8.0,3.0,0.6055720375372066,0.5416089453583584,0.906773190884075,0.22364536570183235,0.7837796299777674,0.9075911361039222
