Pricing_index,Reward,Period_index,product_1_demand,product_2_demand,resouce_1,resouce_2,constraint_0,constraint_1,constraint_2,use_price_index_1,use_price_index_2,use_price_index_3,use_infinite_price,alpha_k-1_n-1,alpha_k-1_n-2,alpha_k-2_n-1,alpha_k-2_n-2,alpha_k-3_n-1,alpha_k-3_n-2,beta_k-1_n-1,beta_k-1_n-2,beta_k-2_n-1,beta_k-2_n-2,beta_k-3_n-1,beta_k-3_n-2,theta_k-1_n-1,theta_k-1_n-2,theta_k-2_n-1,theta_k-2_n-2,theta_k-3_n-1,theta_k-3_n-2
2.0,3.0,1,0.0,1.0,10393.0,10339.0,1.0,10.393000000000002,4.813463902154819,0.116190645334371,0.883809354665629,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0285534521470591,0.5619040700655881,0.014187284476815845,0.9723241582938243,0.41811680914823585,0.12025253672117553
3.0,7.0,2,0.0,1.0,10382.0,10334.0,1.0,10.393,6.957471354701534,0.5639578168814025,0.0,0.4360421831185976,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0842670970077233,0.41552235332692944,0.08327112529115237,0.7975588721546378,0.7997433349501651,0.4728198257585759
3.0,9.0,3,1.0,1.0,10371.0,10329.0,1.0,10.393,6.432293800264887,0.2446685697890725,0.0,0.7553314302109275,0.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5418554077715843,0.6318798404600474,0.5053420676742085,0.23579738172496365,0.22571981042301778,0.5355183106446678
2.0,9.0,4,1.0,1.0,10346.0,10312.0,1.0,10.393,5.752050459503566,0.0,0.9478579092301883,0.0521420907698117,0.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.33345090529826504,0.08291760062251274,0.1515958155357812,0.7268644752399037,0.7419845829257004,0.4551800894998351
3.0,7.0,5,0.0,1.0,10321.0,10295.0,0.7016750112073333,10.393,6.77447622796624,0.0,0.0,0.7016750112073333,0.29832498879266667,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,0.7840333337086648,0.11165251173553921,0.4238915568559989,0.9300865771348994,0.5184423481458894,0.6866824966371509
3.0,9.0,6,1.0,1.0,10310.0,10290.0,0.536324350344821,10.393,6.560930391948505,0.0,0.0,0.536324350344821,0.46367564965517905,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,0.9041537238149692,0.4445142554245702,0.5590036178658676,0.5975525129404384,0.6076376651206261,0.9882974279852155
2.0,6.0,7,1.0,0.0,10285.0,10273.0,1.0,10.393,6.693271643348144,0.0,0.3207024168072805,0.6792975831927196,0.0,1.0,1.0,2.0,3.0,3.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,0.4013789433558461,0.8525960639942678,0.5209348488556751,0.7991176887665155,0.2683738539871469,0.35902599915625405
1.0,2.0,8,1.0,0.0,10271.0,10261.0,0.9624936970077931,10.393,5.364202617481963,0.9624936970077931,0.0,0.0,0.03750630299220692,1.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,0.11799371432821491,0.8314618898787915,0.689228299141265,0.3624756868270961,0.6740008969840339,0.8318148311752626
3.0,9.0,9,1.0,1.0,10257.0,10249.0,1.0,10.393,6.968093159384306,0.0,0.18860710119738677,0.8113928988026132,0.0,2.0,1.0,3.0,3.0,3.0,5.0,1.0,2.0,2.0,2.0,3.0,1.0,0.5951270168467327,0.11834934967744137,0.5239907305800796,0.7287634232951542,0.3688731552819124,0.3705455642825606
3.0,9.0,10,1.0,1.0,10232.0,10232.0,0.8893372518081704,10.393,6.502736719623405,0.0,0.0,0.8893372518081704,0.11066274819182964,2.0,1.0,3.0,3.0,4.0,6.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7092967303942179,0.5050339114835137,0.49561409689183816,0.4900833627968667,0.3548329855177559,0.6107789610311389
4.0,0.0,11,0.0,0.0,10207.0,10215.0,0.5075560985801981,10.393,6.66152291109073,0.0,0.0,0.5075560985801981,0.4924439014198019,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7245694355812967,0.23077849457631427,0.7340275933688618,0.834598415450085,0.6772412681085427,0.9995615019196864
4.0,0.0,12,0.0,0.0,10207.0,10215.0,0.6286829865936829,10.393,6.704920734035297,0.0,0.0,0.6286829865936829,0.37131701340631706,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.5384811936967298,0.2975896236185898,0.7536933684242272,0.865048269282329,0.5590059808856274,0.79139095284606
4.0,0.0,13,0.0,0.0,10207.0,10215.0,0.5477861475992891,10.393,6.762932046582449,0.0,0.0,0.5477861475992891,0.4522138524007109,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7052439901801254,0.03655088950312541,0.7923596332253036,0.7578883381269758,0.660348716041244,0.8843500356514503
3.0,2.0,14,1.0,0.0,10207.0,10215.0,0.5451548554642415,10.393,6.529778178848538,0.0,0.0,0.5451548554642415,0.4548451445357585,2.0,1.0,3.0,3.0,5.0,7.0,1.0,2.0,2.0,2.0,3.0,1.0,0.7179590115362889,0.6399279412504841,0.7392849907460107,0.7109479790301084,0.5876566396314219,0.9851922647818175
